closing,murder_flag,lat,lon,adult_price,latlon,,,date,time,time_range,hour_range
February,Murdered,40.815057,-73.935946,2,"40.815057,-73.935946",,,2/27/2022,8:19:00,8,6AM-8:59AM
July,Not Murdered,40.678448,-73.927951,7,"40.678448,-73.927951",,,7/25/2022,17:51:00,17,3PM-5:59PM
March,Not Murdered,40.67135982,-73.88181102,3,"40.67135982,-73.88181102",,,3/20/2022,16:00:00,16,3PM-5:59PM
April,Not Murdered,40.795807,-73.937099,4,"40.795807,-73.937099",,,4/13/2022,23:30:00,23,9PM-11:59PM
November,Murdered,40.743462,-74.00539,11,"40.743462,-74.00539",,,11/27/2022,21:34:00,21,9PM-11:59PM
March,Not Murdered,40.885533,-73.853323,3,"40.885533,-73.853323",,,3/25/2022,23:40:00,23,9PM-11:59PM
July,Not Murdered,40.70999,-73.953108,7,"40.70999,-73.953108",,,7/18/2022,18:25:00,18,6PM-8:59PM
October,Not Murdered,40.86159271,-73.92474206,10,"40.86159271,-73.92474206",,,10/16/2022,2:55:00,2,12AM-2:59AM
November,Not Murdered,40.846527,-73.909249,11,"40.846527,-73.909249",,,11/7/2022,18:55:00,18,6PM-8:59PM
July,Not Murdered,40.57200642,-73.98931656,7,"40.57200642,-73.98931656",,,7/10/2022,2:00:00,2,12AM-2:59AM
November,Not Murdered,40.749576,-74.004654,11,"40.749576,-74.004654",,,11/12/2022,22:18:00,22,9PM-11:59PM
April,Not Murdered,40.601493,-73.753555,4,"40.601493,-73.753555",,,4/11/2022,16:40:00,16,3PM-5:59PM
January,Not Murdered,40.83571,-73.851302,1,"40.83571,-73.851302",,,1/23/2022,3:39:00,3,3AM-5:59AM
March,Not Murdered,40.879,-73.86462,3,"40.879,-73.86462",,,3/11/2022,23:38:00,23,9PM-11:59PM
November,Not Murdered,40.854745,-73.89356,11,"40.854745,-73.89356",,,11/19/2022,5:00:00,5,3AM-5:59AM
August,Not Murdered,40.70293311,-73.78517201,8,"40.70293311,-73.78517201",,,8/20/2022,17:45:00,17,3PM-5:59PM
March,Not Murdered,40.69629,-73.744088,3,"40.69629,-73.744088",,,3/3/2022,16:00:00,16,3PM-5:59PM
December,Not Murdered,40.858569,-73.89686,12,"40.858569,-73.89686",,,12/16/2022,14:28:00,14,12PM-2:59PM
April,Not Murdered,40.81591308,-73.94514931,4,"40.81591308,-73.94514931",,,4/9/2022,0:21:00,0,12AM-2:59AM
September,Not Murdered,40.821903,-73.903466,9,"40.821903,-73.903466",,,9/17/2022,23:41:00,23,9PM-11:59PM
June,Not Murdered,40.801003,-73.945161,6,"40.801003,-73.945161",,,6/24/2022,19:09:00,19,6PM-8:59PM
February,Murdered,40.804487,-73.914084,2,"40.804487,-73.914084",,,2/7/2022,16:10:00,16,3PM-5:59PM
September,Not Murdered,40.830524,-73.867956,9,"40.830524,-73.867956",,,9/13/2022,1:50:00,1,12AM-2:59AM
December,Murdered,40.675719,-73.921496,12,"40.675719,-73.921496",,,12/6/2022,0:08:00,0,12AM-2:59AM
October,Not Murdered,40.665763,-73.941145,10,"40.665763,-73.941145",,,10/31/2022,0:10:00,0,12AM-2:59AM
July,Murdered,40.881709,-73.862145,7,"40.881709,-73.862145",,,7/26/2022,0:46:00,0,12AM-2:59AM
August,Murdered,40.673916,-73.899768,8,"40.673916,-73.899768",,,8/28/2022,5:12:00,5,3AM-5:59AM
July,Not Murdered,40.64596,-73.950029,7,"40.64596,-73.950029",,,7/15/2022,3:30:00,3,3AM-5:59AM
December,Not Murdered,40.595321,-73.974355,12,"40.595321,-73.974355",,,12/10/2022,2:36:00,2,12AM-2:59AM
August,Not Murdered,40.63329,-73.9058,8,"40.63329,-73.9058",,,8/23/2022,0:26:00,0,12AM-2:59AM
July,Murdered,40.843341,-73.92375,7,"40.843341,-73.92375",,,7/2/2022,14:21:00,14,12PM-2:59PM
June,Not Murdered,40.855686,-73.892316,6,"40.855686,-73.892316",,,6/30/2022,4:06:00,4,3AM-5:59AM
November,Not Murdered,40.671245,-73.926713,11,"40.671245,-73.926713",,,11/5/2022,19:50:00,19,6PM-8:59PM
June,Not Murdered,40.85248768,-73.92769474,6,"40.85248768,-73.92769474",,,6/9/2022,23:35:00,23,9PM-11:59PM
May,Not Murdered,40.697394,-73.951286,5,"40.697394,-73.951286",,,5/17/2022,22:04:00,22,9PM-11:59PM
June,Murdered,40.846474,-73.893852,6,"40.846474,-73.893852",,,6/9/2022,13:40:00,13,12PM-2:59PM
February,Not Murdered,40.6403,-73.956676,2,"40.6403,-73.956676",,,2/10/2022,6:17:00,6,6AM-8:59AM
March,Not Murdered,40.693469,-73.799968,3,"40.693469,-73.799968",,,3/1/2022,13:26:00,13,12PM-2:59PM
January,Not Murdered,40.682446,-73.90965,1,"40.682446,-73.90965",,,1/5/2022,4:01:00,4,3AM-5:59AM
March,Not Murdered,40.755434,-73.943421,3,"40.755434,-73.943421",,,3/21/2022,20:22:00,20,6PM-8:59PM
October,Not Murdered,40.655432,-73.913785,10,"40.655432,-73.913785",,,10/27/2022,3:32:00,3,3AM-5:59AM
October,Not Murdered,40.646674,-73.954492,10,"40.646674,-73.954492",,,10/27/2022,2:48:00,2,12AM-2:59AM
May,Not Murdered,40.711331,-73.992223,5,"40.711331,-73.992223",,,5/16/2022,0:15:00,0,12AM-2:59AM
March,Not Murdered,40.617425,-73.931167,3,"40.617425,-73.931167",,,3/6/2022,3:27:00,3,3AM-5:59AM
June,Not Murdered,40.67982,-73.881764,6,"40.67982,-73.881764",,,6/24/2022,20:10:00,20,6PM-8:59PM
June,Not Murdered,40.82119,-73.943962,6,"40.82119,-73.943962",,,6/24/2022,0:27:00,0,12AM-2:59AM
September,Not Murdered,40.862614,-73.900682,9,"40.862614,-73.900682",,,9/17/2022,20:28:00,20,6PM-8:59PM
February,Not Murdered,40.703499,-73.920029,2,"40.703499,-73.920029",,,2/5/2022,19:00:00,19,6PM-8:59PM
October,Not Murdered,40.827709,-73.890892,10,"40.827709,-73.890892",,,10/7/2022,19:53:00,19,6PM-8:59PM
April,Not Murdered,40.8445883,-73.90484654,4,"40.8445883,-73.90484654",,,4/23/2022,19:40:00,19,6PM-8:59PM
September,Not Murdered,40.869914,-73.879052,9,"40.869914,-73.879052",,,9/10/2022,3:32:00,3,3AM-5:59AM
October,Not Murdered,40.648786,-73.896717,10,"40.648786,-73.896717",,,10/2/2022,20:23:00,20,6PM-8:59PM
December,Murdered,40.694181,-73.802536,12,"40.694181,-73.802536",,,12/27/2022,1:38:00,1,12AM-2:59AM
December,Not Murdered,40.853443,-73.891534,12,"40.853443,-73.891534",,,12/18/2022,0:50:00,0,12AM-2:59AM
January,Murdered,40.804292,-73.909401,1,"40.804292,-73.909401",,,1/22/2022,6:00:00,6,6AM-8:59AM
